stop_id,stop_name,stop_desc,route_id
437,All Star Automotive,Southbound NW 13th ST @ Nearside NW 7th AVE,10
526,Eastbound NW 23rd Avenue @ NW 63rd Terrace,Eastbound NW 23rd AVE @ Nearside NW 63rd TER,10
203,University of Florida Human Resources,Eastbound W University AVE @ Nearside W 8th ST,10
436,Applebee's @ NW 13th Street,Southbound NW 13th ST @ Nearside NW 10th AVE,10
206,AT&T Building,Eastbound W University AVE @ Nearside W 3rd ST,10
529,First Church of the Nazarene,Eastbound NW 23rd AVE @ Nearside NW 51st ST,10
208,Bo Diddley Community Plaza,Eastbound E University AVE @ Nearside E 3st ST,10
599,Morningside Nature Center,Westbound E University AVE @ Nearside SE 38th ST,11
634,Alachua County School Board Administration,Westbound E University AVE @ Nearside NE BLVD,11
629,Southbound NE 9th Street @ NE 5th Avenue,Southbound NE 9th ST @ Nearside NE 5th AVE,11
601,Fred Cone Park,Westbound E University AVE @ Nearside SE 27th ST,11
1259,Exxon Gas Station @ E University Avenue,Westbound E University AVE @ Farside SE 43rd ST,11
623,Westbound NE 13th Street @ NE 8th Avenue,Westbound NE 8th AVE @ Nearside NE 13th ST,11
608,Northbound NE 25th Street @ NE 6th Avenue,Northbound NE 25th ST @ Farside NE 6th AVE,11
597,Sunrise Store @ SE 43rd Street,Northbound SE 43rd ST @ Nearside E University AVE,11
1216,Arlington Square Apartments,Southbound SE 3rd ST @ Nearside SE 2nd PL,11
1206,Arlington Square Apartments,Northbound SE 3rd ST @ Nearside SE 2nd PL,11
554,Salvation Army Thrift Store,Eastbound E University AVE @ Nearside E 7th ST,11
562,Sunny Food Mart,Eastbound NE 8th AVE @ Nearside NE 12th ST,11
587,Fred Cone Park,Eastbound E University AVE @ Farside SE 27th ST,11
570,Eastbound NE 8th Avenue @ NE 22nd Street,Eastbound NE 8th AVE @ Nearside NE 22nd ST,11
589,Eastside Plaza,Eastbound E University AVE @ Nearside SE 39th ST,11
1,Rosa Parks RTS Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,11
