"stop_id","stop_name","stop_desc"
"1329","Alachua County Juvenile Detention","Eastbound NE 39th AVE @ Farside Waldo RD"
"1320","Airport","Westbound Airport Access RD @ Farside NE 39th AVE"
"1319","Gainesville Regional Airport Outbound","Westbound Airport Access RD @ Nearside NE 39th AVE"
"1330","Alachua County Juvenile Detention","Westbound NE 39th AVE @ Farside Waldo RD"
"1318","GRACE Marketplace","Westbound NE 39th AVE @ Nearside Waldo RD"
"1339","Merita Bread Box","Southbound Waldo RD @ Nearside NE 31st AVE"
"1338","Sonny's Barbecue @ Waldo Road","Southbound Waldo RD @ Farside NE 27th AVE"
"1316","Super Wal-Mart @ Waldo Road","Southbound Waldo RD @ Nearside NE 12th AVE"
"1368","Westbound SE 2nd AVE @ SE 10th ST","Westbound SE 2nd AVE @ Nearside SE 10th Street"
"1314","Bed and Breakfast District","Westbound SE 2nd AVE @ Farside SE 7th ST"
"927","Ben Hill Griffin Stadium North End Zone","Southbound Gale Lemerand DR @ Farside W Universit*"
"1165","Hills Mini Storage","Westbound NE 39th Ave @ Farside Waldo Rd"
"1166","Ironwood Golf Course","Westbound NE 39th AVE @ Nearside Waldo RD"
"1495","Passage Family Church","Southbound NE 15th St @ Nearside NE 20th Pl"
"1503","Southbound Metcalfe Elementary School","Southbound NE 15th ST @ Nearside NE 18th AVE"
"1447","Gardenia Gardens","Eastbound NE 8th AVE @ Farside NE 17th ST"
"1502","Northbound Metcalfe Elementary School","Northbound NE 15th ST @ Nearside NE 18th AVE"
"1494","NE 15th St @ NE 20th Pl","Northbound NE 15th St @ Farside NE 20th Pl"
"878","Ironwood Golf Course","Eastbound NE 39th AVE @ Farside Waldo RD"
"1430","NE 39th Ave @ Waldo Rd","Eastbound NW 39th AVE @ Nearside Waldo RD"
"1428","FDOT Operations Center","Eastbound NW 39th AVE @ Nearside NE 52 ST"
"214","Santa Fe College Charles L. Blount Center","Northbound NW 6th ST @ Nearside NW 4th AVE"
"1448","Northwest 8 Avenue @ farside NW 4th St","Northwest 8 Avenue @ farside NW 4th St Eastbound"
"1362","UF & Shands Family Medicine Main Street","Northbound N Main ST @ Farside NW 16th AVE"
"1545","Fresenius Medical Care","Northbound N Main ST @ Nearside NE 1st Blvd"
"1201","Greyhound Station","Westbound NW 23rd AVE @ Nearside N Main ST"
"1450","Northside Shopping Center West","Northbound NE 1 BLVD @ Farside NW 23 AVE"
"1451","Northside Shopping Center East","Southbound Main ST @ Nearside NW 23rd AVE"
"1415","Family Dollar @ NE 23rd AVE","Westbound NE 23rd AVE @  N Main ST"
"1546","The Clock Restaurant","Southbound N Main ST @ Nearside NE 1st Blvd"
"1449","Gator City Motors SB N Main St","Southbound Main ST @ Nearside NW 16th AVE"
"1366","Westbound NW 8th AVE @ NW 4th ST","Westbound NW 8th AVE @ Nearside NW 4th ST"
"284","Santa Fe College Charles L. Blount Center","Eastbound NW 6th ST @ Nearside NW 3rd AVE"
"959","Family Housing @ SW 34th Street","Northbound SW 34th ST @ Nearside Radio RD"
"1458","Northside Family Housing","Eastbound Radio RD @ Nearside SW 34 ST"
"1214","Corry Village","Northbound Village DR @ Nearside W Fraternity Row"
"1145","Fraternity Row II across Springs","Eastbound Fraternity Row @ Farside W Fraternity R*"
"1146","Beta Theta Pi across Springs","Eastbound Fraternity Row @ Nearside Woodlawn DR"
"926","Leigh Hall","Northbound Buckman DR @ Nearside W University AVE"
"1161","Springs Residence Building","Westbound Fraternity Row @ Farside Woodlawn DR"
"1133","Fraternity Row at West Fraternity Drive","Westbound Fraternity Row @ Nearside W Fraternity *"
"1189","Corry Village","Westbound West Fraternity DR @ Nearside Village DR"
"1457","Physical Plant Radio Road","Westbound Radio RD @ Nearside SW 34 ST"
"939","Orthopaedics and Sports Medicine Institute","Southbound SW 34th ST @ Nearside Hull RD"
"1559","Clark Butler BLVD @ Plaza southbound","Southbound Clark Butler BLVD @ Nearside Plaza BLVD"
"1580","Celebration Pointe At Regal Cinema 10","SW 45th Street Farside SW 32nd Road"
"1578","Celebration Pointe PNR","SW 32nd Rd And SW 50th Terrace Parking Lot"
"1579","Outside of Butler Plaza TS","SW 35th Blvd And SW 42nd Street"
"1555","Pod @ Plaza Blvd Eastbound","Eastbound Plaza Blvd @ Farside SW 62nd Blvd"
"1484","Varsity House Apartments @ SW 38th Ter","Northbound SW 38th TER @ Nearside Hull RD"
"1483","aloft Hotel @ Hull Rd Eastbound","Eastbound Hull Rd Farside SW 37th St"
"1237","Museum Walk Apartments","Eastbound Hull RD @ Nearside SW 34th ST"
"1173","Cultural Plaza","Eastbound Hull RD @ Farside Bledsoe DR"
"1174","Lacrosse Field","Eastbound Hull RD @ Nearside Natural Area DR"
"1176","Fifield Hall","Eastbound Hull RD @ Nearside Mowry RD"
"951","Southbound SW 26th Drive @ SW 40th Place","Southbound SW 26th DR @ Nearside SW 40th PL"
"452","Gainesville Place Apartments @ SW 35th Place","Westbound SW 35th PL @ Nearside SW 28th TER"
"952","Gainesville Place Apartments","Northbound Gainesville Place Apartments @ Farside*"
"953","Gainesville Place Apartments","Northbound Gainesville Place Apartments @ Farside*"
"954","Enclave Apartments","Westbound SW 28th PL @ Farside SW 28th PL"
